T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2012-2013

"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2012-2013",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Male",610
"2012-2013",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Female",369
"2012-2013",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Male",360
"2012-2013",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Female",1714
"2012-2013",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Male",1905
"2012-2013",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Female",3136
"2012-2013",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Male",3362
"2012-2013",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Female",1205
"2012-2013",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Male",1322
"2012-2013",14,"JONES COUNTY","ANSON ISD",127901,"TRADITIONAL ISD/CSD","Female",344
"2012-2013",14,"JONES COUNTY","ANSON ISD",127901,"TRADITIONAL ISD/CSD","Male",355
"2012-2013",19,"EL PASO COUNTY","ANTHONY ISD",071906,"TRADITIONAL ISD/CSD","Female",412
"2012-2013",19,"EL PASO COUNTY","ANTHONY ISD",071906,"TRADITIONAL ISD/CSD","Male",444
"2012-2013",17,"HOCKLEY COUNTY","ANTON ISD",110901,"TRADITIONAL ISD/CSD","Female",129
"2012-2013",17,"HOCKLEY COUNTY","ANTON ISD",110901,"TRADITIONAL ISD/CSD","Male",122
"2012-2013",06,"TRINITY COUNTY","APPLE SPRINGS ISD",228905,"TRADITIONAL ISD/CSD","Female",88
"2012-2013",06,"TRINITY COUNTY","APPLE SPRINGS ISD",228905,"TRADITIONAL ISD/CSD","Male",121
"2012-2013",12,"HILL COUNTY","AQUILLA ISD",109912,"TRADITIONAL ISD/CSD","Female",161
"2012-2013",12,"HILL COUNTY","AQUILLA ISD",109912,"TRADITIONAL ISD/CSD","Male",126
"2012-2013",02,"ARANSAS COUNTY","ARANSAS COUNTY ISD",004901,"TRADITIONAL ISD/CSD","Female",1480
"2012-2013",02,"ARANSAS COUNTY","ARANSAS COUNTY ISD",004901,"TRADITIONAL ISD/CSD","Male",1685
"2012-2013",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"TRADITIONAL ISD/CSD","Female",917
"2012-2013",02,"SAN PATRICIO COUNTY","ARANSAS PASS ISD",205901,"TRADITIONAL ISD/CSD","Male",924
"2012-2013",09,"ARCHER COUNTY","ARCHER CITY ISD",005901,"TRADITIONAL ISD/CSD","Female",239
"2012-2013",09,"ARCHER COUNTY","ARCHER CITY ISD",005901,"TRADITIONAL ISD/CSD","Male",249
"2012-2013",11,"DENTON COUNTY","ARGYLE ISD",061910,"TRADITIONAL ISD/CSD","Female",846
"2012-2013",11,"DENTON COUNTY","ARGYLE ISD",061910,"TRADITIONAL ISD/CSD","Male",1061
"2012-2013",04,"HARRIS COUNTY","ARISTOI CLASSICAL ACADEMY",101803,"OPEN ENROLLMENT CHARTER","Female",147
"2012-2013",04,"HARRIS COUNTY","ARISTOI CLASSICAL ACADEMY",101803,"OPEN ENROLLMENT CHARTER","Male",173
"2012-2013",11,"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY",220802,"OPEN ENROLLMENT CHARTER","Female",610
"2012-2013",11,"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY",220802,"OPEN ENROLLMENT CHARTER","Male",566
"2012-2013",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"TRADITIONAL ISD/CSD","Female",31638
"2012-2013",11,"TARRANT COUNTY","ARLINGTON ISD",220901,"TRADITIONAL ISD/CSD","Male",33363
"2012-2013",07,"SMITH COUNTY","ARP ISD",212901,"TRADITIONAL ISD/CSD","Female",396
"2012-2013",07,"SMITH COUNTY","ARP ISD",212901,"TRADITIONAL ISD/CSD","Male",488
"2012-2013",06,"BRAZOS COUNTY","ARROW ACADEMY",021805,"OPEN ENROLLMENT CHARTER","Female",418
"2012-2013",06,"BRAZOS COUNTY","ARROW ACADEMY",021805,"OPEN ENROLLMENT CHARTER","Male",449
"2012-2013",14,"STONEWALL COUNTY","ASPERMONT ISD",217901,"TRADITIONAL ISD/CSD","Female",138
"2012-2013",14,"STONEWALL COUNTY","ASPERMONT ISD",217901,"TRADITIONAL ISD/CSD","Male",115
"2012-2013",07,"HENDERSON COUNTY","ATHENS ISD",107901,"TRADITIONAL ISD/CSD","Female",1567
"2012-2013",07,"HENDERSON COUNTY","ATHENS ISD",107901,"TRADITIONAL ISD/CSD","Male",1781
"2012-2013",08,"CASS COUNTY","ATLANTA ISD",034901,"TRADITIONAL ISD/CSD","Female",849
"2012-2013",08,"CASS COUNTY","ATLANTA ISD",034901,"TRADITIONAL ISD/CSD","Male",965
"2012-2013",11,"DENTON COUNTY","AUBREY ISD",061907,"TRADITIONAL ISD/CSD","Female",970
"2012-2013",11,"DENTON COUNTY","AUBREY ISD",061907,"TRADITIONAL ISD/CSD","Male",1036
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"OPEN ENROLLMENT CHARTER","Female",54
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"OPEN ENROLLMENT CHARTER","Male",64
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"OPEN ENROLLMENT CHARTER","Female",196
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"OPEN ENROLLMENT CHARTER","Male",194
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"OPEN ENROLLMENT CHARTER","Female",164
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"OPEN ENROLLMENT CHARTER","Male",231
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"TRADITIONAL ISD/CSD","Female",42179
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"TRADITIONAL ISD/CSD","Male",44337
"2012-2013",03,"REFUGIO COUNTY","AUSTWELL-TIVOLI ISD",196901,"TRADITIONAL ISD/CSD","Female",69
"2012-2013",03,"REFUGIO COUNTY","AUSTWELL-TIVOLI ISD",196901,"TRADITIONAL ISD/CSD","Male",81
"2012-2013",10,"ELLIS COUNTY","AVALON ISD",070901,"TRADITIONAL ISD/CSD","Female",171
"2012-2013",10,"ELLIS COUNTY","AVALON ISD",070901,"TRADITIONAL ISD/CSD","Male",150
"2012-2013",08,"RED RIVER COUNTY","AVERY ISD",194902,"TRADITIONAL ISD/CSD","Female",187
"2012-2013",08,"RED RIVER COUNTY","AVERY ISD",194902,"TRADITIONAL ISD/CSD","Male",199
"2012-2013",08,"CASS COUNTY","AVINGER ISD",034902,"TRADITIONAL ISD/CSD","Female",56
"2012-2013",08,"CASS COUNTY","AVINGER ISD",034902,"TRADITIONAL ISD/CSD","Male",62
"2012-2013",12,"MCLENNAN COUNTY","AXTELL ISD",161918,"TRADITIONAL ISD/CSD","Female",385
"2012-2013",12,"MCLENNAN COUNTY","AXTELL ISD",161918,"TRADITIONAL ISD/CSD","Male",399
"2012-2013",11,"TARRANT COUNTY","AZLE ISD",220915,"TRADITIONAL ISD/CSD","Female",2908
"2012-2013",11,"TARRANT COUNTY","AZLE ISD",220915,"TRADITIONAL ISD/CSD","Male",3022
"2012-2013",07,"SMITH COUNTY","AZLEWAY CHARTER SCHOOL",212803,"OPEN ENROLLMENT CHARTER","Female",8
"2012-2013",07,"SMITH COUNTY","AZLEWAY CHARTER SCHOOL",212803,"OPEN ENROLLMENT CHARTER","Male",153
"2012-2013",14,"CALLAHAN COUNTY","BAIRD ISD",030903,"TRADITIONAL ISD/CSD","Female",131
"2012-2013",14,"CALLAHAN COUNTY","BAIRD ISD",030903,"TRADITIONAL ISD/CSD","Male",160
"2012-2013",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"TRADITIONAL ISD/CSD","Female",452
"2012-2013",15,"RUNNELS COUNTY","BALLINGER ISD",200901,"TRADITIONAL ISD/CSD","Male",496
"2012-2013",18,"REEVES COUNTY","BALMORHEA ISD",195902,"TRADITIONAL ISD/CSD","Female",76
"2012-2013",18,"REEVES COUNTY","BALMORHEA ISD",195902,"TRADITIONAL ISD/CSD","Male",89
"2012-2013",20,"BANDERA COUNTY","BANDERA ISD",010902,"TRADITIONAL ISD/CSD","Female",1190
"2012-2013",20,"BANDERA COUNTY","BANDERA ISD",010902,"TRADITIONAL ISD/CSD","Male",1257
"2012-2013",15,"BROWN COUNTY","BANGS ISD",025901,"TRADITIONAL ISD/CSD","Female",454
"2012-2013",15,"BROWN COUNTY","BANGS ISD",025901,"TRADITIONAL ISD/CSD","Male",543
"2012-2013",02,"NUECES COUNTY","BANQUETE ISD",178913,"TRADITIONAL ISD/CSD","Female",399
"2012-2013",02,"NUECES COUNTY","BANQUETE ISD",178913,"TRADITIONAL ISD/CSD","Male",457
"2012-2013",04,"CHAMBERS COUNTY","BARBERS HILL ISD",036902,"TRADITIONAL ISD/CSD","Female",2149
"2012-2013",04,"CHAMBERS COUNTY","BARBERS HILL ISD",036902,"TRADITIONAL ISD/CSD","Male",2396
"2012-2013",13,"BELL COUNTY","BARTLETT ISD",014902,"TRADITIONAL ISD/CSD","Female",193
"2012-2013",13,"BELL COUNTY","BARTLETT ISD",014902,"TRADITIONAL ISD/CSD","Male",228
"2012-2013",13,"BASTROP COUNTY","BASTROP ISD",011901,"TRADITIONAL ISD/CSD","Female",4414
"2012-2013",13,"BASTROP COUNTY","BASTROP ISD",011901,"TRADITIONAL ISD/CSD","Male",4888
"2012-2013",04,"HARRIS COUNTY","BAY AREA CHARTER INC",101809,"OPEN ENROLLMENT CHARTER","Female",179
"2012-2013",04,"HARRIS COUNTY","BAY AREA CHARTER INC",101809,"OPEN ENROLLMENT CHARTER","Male",181
"2012-2013",03,"MATAGORDA COUNTY","BAY CITY ISD",158901,"TRADITIONAL ISD/CSD","Female",1747
"2012-2013",03,"MATAGORDA COUNTY","BAY CITY ISD",158901,"TRADITIONAL ISD/CSD","Male",1915
"2012-2013",04,"HARRIS COUNTY","BEATRICE MAYES INSTITUTE CHARTER S",101847,"OPEN ENROLLMENT CHARTER","Female",226
"2012-2013",04,"HARRIS COUNTY","BEATRICE MAYES INSTITUTE CHARTER S",101847,"OPEN ENROLLMENT CHARTER","Male",224
"2012-2013",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"TRADITIONAL ISD/CSD","Female",9779
"2012-2013",05,"JEFFERSON COUNTY","BEAUMONT ISD",123910,"TRADITIONAL ISD/CSD","Male",10071
"2012-2013",07,"PANOLA COUNTY","BECKVILLE ISD",183901,"TRADITIONAL ISD/CSD","Female",324
"2012-2013",07,"PANOLA COUNTY","BECKVILLE ISD",183901,"TRADITIONAL ISD/CSD","Male",352
"2012-2013",02,"BEE COUNTY","BEEVILLE ISD",013901,"TRADITIONAL ISD/CSD","Female",1685
"2012-2013",02,"BEE COUNTY","BEEVILLE ISD",013901,"TRADITIONAL ISD/CSD","Male",1804
"2012-2013",09,"CLAY COUNTY","BELLEVUE ISD",039904,"TRADITIONAL ISD/CSD","Female",76
"2012-2013",09,"CLAY COUNTY","BELLEVUE ISD",039904,"TRADITIONAL ISD/CSD","Male",83
"2012-2013",10,"GRAYSON COUNTY","BELLS ISD",091901,"TRADITIONAL ISD/CSD","Female",384
"2012-2013",10,"GRAYSON COUNTY","BELLS ISD",091901,"TRADITIONAL ISD/CSD","Male",399
"2012-2013",06,"AUSTIN COUNTY","BELLVILLE ISD",008901,"TRADITIONAL ISD/CSD","Female",1012
"2012-2013",06,"AUSTIN COUNTY","BELLVILLE ISD",008901,"TRADITIONAL ISD/CSD","Male",1075
"2012-2013",12,"BELL COUNTY","BELTON ISD",014903,"TRADITIONAL ISD/CSD","Female",4776
"2012-2013",12,"BELL COUNTY","BELTON ISD",014903,"TRADITIONAL ISD/CSD","Male",5156
"2012-2013",02,"JIM WELLS COUNTY","BEN BOLT-PALITO BLANCO ISD",125902,"TRADITIONAL ISD/CSD","Female",275
"2012-2013",02,"JIM WELLS COUNTY","BEN BOLT-PALITO BLANCO ISD",125902,"TRADITIONAL ISD/CSD","Male",346
"2012-2013",02,"DUVAL COUNTY","BENAVIDES ISD",066901,"TRADITIONAL ISD/CSD","Female",170
"2012-2013",02,"DUVAL COUNTY","BENAVIDES ISD",066901,"TRADITIONAL ISD/CSD","Male",192
"2012-2013",09,"KNOX COUNTY","BENJAMIN ISD",138904,"TRADITIONAL ISD/CSD","Female",36
"2012-2013",09,"KNOX COUNTY","BENJAMIN ISD",138904,"TRADITIONAL ISD/CSD","Male",35
"2012-2013",20,"BEXAR COUNTY","BEXAR COUNTY ACADEMY",015809,"OPEN ENROLLMENT CHARTER","Female",237
"2012-2013",20,"BEXAR COUNTY","BEXAR COUNTY ACADEMY",015809,"OPEN ENROLLMENT CHARTER","Male",221
"2012-2013",06,"POLK COUNTY","BIG SANDY ISD",187901,"TRADITIONAL ISD/CSD","Female",228
"2012-2013",07,"UPSHUR COUNTY","BIG SANDY ISD",230901,"TRADITIONAL ISD/CSD","Female",339
"2012-2013",06,"POLK COUNTY","BIG SANDY ISD",187901,"TRADITIONAL ISD/CSD","Male",267
"2012-2013",07,"UPSHUR COUNTY","BIG SANDY ISD",230901,"TRADITIONAL ISD/CSD","Male",377
"2012-2013",18,"HOWARD COUNTY","BIG SPRING ISD",114901,"TRADITIONAL ISD/CSD","Female",2012
"2012-2013",18,"HOWARD COUNTY","BIG SPRING ISD",114901,"TRADITIONAL ISD/CSD","Male",2183
"2012-2013",20,"REAL COUNTY","BIG SPRINGS CHARTER SCHOOL",193801,"OPEN ENROLLMENT CHARTER","Female",81
"2012-2013",20,"REAL COUNTY","BIG SPRINGS CHARTER SCHOOL",193801,"OPEN ENROLLMENT CHARTER","Male",84
"2012-2013",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"TRADITIONAL ISD/CSD","Female",11755
"2012-2013",11,"TARRANT COUNTY","BIRDVILLE ISD",220902,"TRADITIONAL ISD/CSD","Male",12435
"2012-2013",02,"NUECES COUNTY","BISHOP CISD",178902,"TRADITIONAL ISD/CSD","Female",640
"2012-2013",02,"NUECES COUNTY","BISHOP CISD",178902,"TRADITIONAL ISD/CSD","Male",659
"2012-2013",14,"NOLAN COUNTY","BLACKWELL CISD",177903,"TRADITIONAL ISD/CSD","Female",72
"2012-2013",14,"NOLAN COUNTY","BLACKWELL CISD",177903,"TRADITIONAL ISD/CSD","Male",76
"2012-2013",13,"BLANCO COUNTY","BLANCO ISD",016902,"TRADITIONAL ISD/CSD","Female",445
"2012-2013",13,"BLANCO COUNTY","BLANCO ISD",016902,"TRADITIONAL ISD/CSD","Male",506
"2012-2013",10,"HUNT COUNTY","BLAND ISD",116915,"TRADITIONAL ISD/CSD","Female",302
"2012-2013",10,"HUNT COUNTY","BLAND ISD",116915,"TRADITIONAL ISD/CSD","Male",317
"2012-2013",15,"BROWN COUNTY","BLANKET ISD",025904,"TRADITIONAL ISD/CSD","Female",113
"2012-2013",15,"BROWN COUNTY","BLANKET ISD",025904,"TRADITIONAL ISD/CSD","Male",128
"2012-2013",08,"CASS COUNTY","BLOOMBURG ISD",034909,"TRADITIONAL ISD/CSD","Female",143
"2012-2013",08,"CASS COUNTY","BLOOMBURG ISD",034909,"TRADITIONAL ISD/CSD","Male",120
"2012-2013",12,"NAVARRO COUNTY","BLOOMING GROVE ISD",175902,"TRADITIONAL ISD/CSD","Female",391
"2012-2013",12,"NAVARRO COUNTY","BLOOMING GROVE ISD",175902,"TRADITIONAL ISD/CSD","Male",427
"2012-2013",03,"VICTORIA COUNTY","BLOOMINGTON ISD",235901,"TRADITIONAL ISD/CSD","Female",465
"2012-2013",03,"VICTORIA COUNTY","BLOOMINGTON ISD",235901,"TRADITIONAL ISD/CSD","Male",441
"2012-2013",10,"COLLIN COUNTY","BLUE RIDGE ISD",043917,"TRADITIONAL ISD/CSD","Female",316
"2012-2013",10,"COLLIN COUNTY","BLUE RIDGE ISD",043917,"TRADITIONAL ISD/CSD","Male",342
"2012-2013",11,"ERATH COUNTY","BLUFF DALE ISD",072904,"TRADITIONAL ISD/CSD","Female",61
"2012-2013",11,"ERATH COUNTY","BLUFF DALE ISD",072904,"TRADITIONAL ISD/CSD","Male",56
"2012-2013",12,"HILL COUNTY","BLUM ISD",109913,"TRADITIONAL ISD/CSD","Female",185
"2012-2013",12,"HILL COUNTY","BLUM ISD",109913,"TRADITIONAL ISD/CSD","Male",193
"2012-2013",05,"JEFFERSON COUNTY","BOB HOPE SCHOOL",123807,"OPEN ENROLLMENT CHARTER","Female",137
"2012-2013",05,"JEFFERSON COUNTY","BOB HOPE SCHOOL",123807,"OPEN ENROLLMENT CHARTER","Male",106
"2012-2013",20,"KENDALL COUNTY","BOERNE ISD",130901,"TRADITIONAL ISD/CSD","Female",3392
"2012-2013",20,"KENDALL COUNTY","BOERNE ISD",130901,"TRADITIONAL ISD/CSD","Male",3702
"2012-2013",10,"HUNT COUNTY","BOLES ISD",116916,"TRADITIONAL ISD/CSD","Female",279
"2012-2013",10,"HUNT COUNTY","BOLES ISD",116916,"TRADITIONAL ISD/CSD","Male",252
"2012-2013",03,"WHARTON COUNTY","BOLING ISD",241901,"TRADITIONAL ISD/CSD","Female",524
"2012-2013",03,"WHARTON COUNTY","BOLING ISD",241901,"TRADITIONAL ISD/CSD","Male",548
"2012-2013",10,"FANNIN COUNTY","BONHAM ISD",074903,"TRADITIONAL ISD/CSD","Female",960
"2012-2013",10,"FANNIN COUNTY","BONHAM ISD",074903,"TRADITIONAL ISD/CSD","Male",991
"2012-2013",16,"LIPSCOMB COUNTY","BOOKER ISD",148901,"TRADITIONAL ISD/CSD","Female",209
"2012-2013",16,"LIPSCOMB COUNTY","BOOKER ISD",148901,"TRADITIONAL ISD/CSD","Male",199
"2012-2013",17,"BORDEN COUNTY","BORDEN COUNTY ISD",017901,"TRADITIONAL ISD/CSD","Female",123
"2012-2013",17,"BORDEN COUNTY","BORDEN COUNTY ISD",017901,"TRADITIONAL ISD/CSD","Male",116
"2012-2013",16,"HUTCHINSON COUNTY","BORGER ISD",117901,"TRADITIONAL ISD/CSD","Female",1402
"2012-2013",16,"HUTCHINSON COUNTY","BORGER ISD",117901,"TRADITIONAL ISD/CSD","Male",1386
"2012-2013",12,"MCLENNAN COUNTY","BOSQUEVILLE ISD",161923,"TRADITIONAL ISD/CSD","Female",306
"2012-2013",12,"MCLENNAN COUNTY","BOSQUEVILLE ISD",161923,"TRADITIONAL ISD/CSD","Male",319
